date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
11:47:15	150544/150544	---MCZ	200	added ('OK')	text/html	date:Sat,%2016%20Oct%202021%2006:17:18%20GMT	https://twitter-trends.iamrohit.in/israel	C:/My%20Web%20Sites/trends/twitter-trends.iamrohit.in/israel.html	(from https://twitter-trends.iamrohit.in/)
11:47:15	154824/154824	---MCZ	200	added ('OK')	text/html	date:Sat,%2016%20Oct%202021%2006:17:19%20GMT	https://twitter-trends.iamrohit.in/japan	C:/My%20Web%20Sites/trends/twitter-trends.iamrohit.in/japan.html	(from https://twitter-trends.iamrohit.in/)
11:47:16	146952/146952	---MCZ	200	added ('OK')	text/html	date:Sat,%2016%20Oct%202021%2006:17:19%20GMT	https://twitter-trends.iamrohit.in/jordan	C:/My%20Web%20Sites/trends/twitter-trends.iamrohit.in/jordan.html	(from https://twitter-trends.iamrohit.in/)
11:47:17	148361/148361	---MCZ	200	added ('OK')	text/html	date:Sat,%2016%20Oct%202021%2006:17:20%20GMT	https://twitter-trends.iamrohit.in/kenya	C:/My%20Web%20Sites/trends/twitter-trends.iamrohit.in/kenya.html	(from https://twitter-trends.iamrohit.in/)
11:47:17	154986/154986	---MCZ	200	added ('OK')	text/html	date:Sat,%2016%20Oct%202021%2006:17:21%20GMT	https://twitter-trends.iamrohit.in/korea	C:/My%20Web%20Sites/trends/twitter-trends.iamrohit.in/korea.html	(from https://twitter-trends.iamrohit.in/)
11:47:17	156790/156790	---MCZ	200	added ('OK')	text/html	date:Sat,%2016%20Oct%202021%2006:17:21%20GMT	https://twitter-trends.iamrohit.in/kuwait	C:/My%20Web%20Sites/trends/twitter-trends.iamrohit.in/kuwait.html	(from https://twitter-trends.iamrohit.in/)
11:47:18	148339/148339	---MCZ	200	added ('OK')	text/html	date:Sat,%2016%20Oct%202021%2006:17:22%20GMT	https://twitter-trends.iamrohit.in/latvia	C:/My%20Web%20Sites/trends/twitter-trends.iamrohit.in/latvia.html	(from https://twitter-trends.iamrohit.in/)
11:47:18	155014/155014	---MCZ	200	added ('OK')	text/html	date:Sat,%2016%20Oct%202021%2006:17:22%20GMT	https://twitter-trends.iamrohit.in/lebanon	C:/My%20Web%20Sites/trends/twitter-trends.iamrohit.in/lebanon.html	(from https://twitter-trends.iamrohit.in/)
11:47:19	147969/147969	---MCZ	200	added ('OK')	text/html	date:Sat,%2016%20Oct%202021%2006:17:22%20GMT	https://twitter-trends.iamrohit.in/malaysia	C:/My%20Web%20Sites/trends/twitter-trends.iamrohit.in/malaysia.html	(from https://twitter-trends.iamrohit.in/)
11:47:19	148014/148014	---MCZ	200	added ('OK')	text/html	date:Sat,%2016%20Oct%202021%2006:17:23%20GMT	https://twitter-trends.iamrohit.in/mexico	C:/My%20Web%20Sites/trends/twitter-trends.iamrohit.in/mexico.html	(from https://twitter-trends.iamrohit.in/)
11:47:20	148677/148677	---MCZ	200	added ('OK')	text/html	date:Sat,%2016%20Oct%202021%2006:17:23%20GMT	https://twitter-trends.iamrohit.in/netherlands	C:/My%20Web%20Sites/trends/twitter-trends.iamrohit.in/netherlands.html	(from https://twitter-trends.iamrohit.in/)
11:47:21	148145/148145	---MCZ	200	added ('OK')	text/html	date:Sat,%2016%20Oct%202021%2006:17:24%20GMT	https://twitter-trends.iamrohit.in/new-zealand	C:/My%20Web%20Sites/trends/twitter-trends.iamrohit.in/new-zealand.html	(from https://twitter-trends.iamrohit.in/)
11:47:21	147571/147571	---MCZ	200	added ('OK')	text/html	date:Sat,%2016%20Oct%202021%2006:17:25%20GMT	https://twitter-trends.iamrohit.in/nigeria	C:/My%20Web%20Sites/trends/twitter-trends.iamrohit.in/nigeria.html	(from https://twitter-trends.iamrohit.in/)
11:47:22	148028/148028	---MCZ	200	added ('OK')	text/html	date:Sat,%2016%20Oct%202021%2006:17:25%20GMT	https://twitter-trends.iamrohit.in/norway	C:/My%20Web%20Sites/trends/twitter-trends.iamrohit.in/norway.html	(from https://twitter-trends.iamrohit.in/)
11:47:22	154604/154604	---MCZ	200	added ('OK')	text/html	date:Sat,%2016%20Oct%202021%2006:17:26%20GMT	https://twitter-trends.iamrohit.in/oman	C:/My%20Web%20Sites/trends/twitter-trends.iamrohit.in/oman.html	(from https://twitter-trends.iamrohit.in/)
11:47:22	149123/149123	---MCZ	200	added ('OK')	text/html	date:Sat,%2016%20Oct%202021%2006:17:26%20GMT	https://twitter-trends.iamrohit.in/pakistan	C:/My%20Web%20Sites/trends/twitter-trends.iamrohit.in/pakistan.html	(from https://twitter-trends.iamrohit.in/)
11:47:23	148494/148494	---MCZ	200	added ('OK')	text/html	date:Sat,%2016%20Oct%202021%2006:17:27%20GMT	https://twitter-trends.iamrohit.in/panama	C:/My%20Web%20Sites/trends/twitter-trends.iamrohit.in/panama.html	(from https://twitter-trends.iamrohit.in/)
11:47:24	148357/148357	---MCZ	200	added ('OK')	text/html	date:Sat,%2016%20Oct%202021%2006:17:27%20GMT	https://twitter-trends.iamrohit.in/peru	C:/My%20Web%20Sites/trends/twitter-trends.iamrohit.in/peru.html	(from https://twitter-trends.iamrohit.in/)
11:47:24	149951/149951	---MCZ	200	added ('OK')	text/html	date:Sat,%2016%20Oct%202021%2006:17:28%20GMT	https://twitter-trends.iamrohit.in/philippines	C:/My%20Web%20Sites/trends/twitter-trends.iamrohit.in/philippines.html	(from https://twitter-trends.iamrohit.in/)
11:47:25	148704/148704	---MCZ	200	added ('OK')	text/html	date:Sat,%2016%20Oct%202021%2006:17:29%20GMT	https://twitter-trends.iamrohit.in/poland	C:/My%20Web%20Sites/trends/twitter-trends.iamrohit.in/poland.html	(from https://twitter-trends.iamrohit.in/)
11:47:26	148408/148408	---MCZ	200	added ('OK')	text/html	date:Sat,%2016%20Oct%202021%2006:17:29%20GMT	https://twitter-trends.iamrohit.in/portugal	C:/My%20Web%20Sites/trends/twitter-trends.iamrohit.in/portugal.html	(from https://twitter-trends.iamrohit.in/)
11:47:26	148270/148270	---MCZ	200	added ('OK')	text/html	date:Sat,%2016%20Oct%202021%2006:17:30%20GMT	https://twitter-trends.iamrohit.in/puerto-rico	C:/My%20Web%20Sites/trends/twitter-trends.iamrohit.in/puerto-rico.html	(from https://twitter-trends.iamrohit.in/)
11:47:27	142205/142205	---MCZ	200	added ('OK')	text/html	date:Sat,%2016%20Oct%202021%2006:17:30%20GMT	https://twitter-trends.iamrohit.in/qatar	C:/My%20Web%20Sites/trends/twitter-trends.iamrohit.in/qatar.html	(from https://twitter-trends.iamrohit.in/)
11:47:27	154280/154280	---MCZ	200	added ('OK')	text/html	date:Sat,%2016%20Oct%202021%2006:17:31%20GMT	https://twitter-trends.iamrohit.in/russia	C:/My%20Web%20Sites/trends/twitter-trends.iamrohit.in/russia.html	(from https://twitter-trends.iamrohit.in/)
11:47:28	157515/157515	---MCZ	200	added ('OK')	text/html	date:Sat,%2016%20Oct%202021%2006:17:31%20GMT	https://twitter-trends.iamrohit.in/saudi-arabia	C:/My%20Web%20Sites/trends/twitter-trends.iamrohit.in/saudi-arabia.html	(from https://twitter-trends.iamrohit.in/)
11:47:28	147689/147689	---MCZ	200	added ('OK')	text/html	date:Sat,%2016%20Oct%202021%2006:17:32%20GMT	https://twitter-trends.iamrohit.in/singapore	C:/My%20Web%20Sites/trends/twitter-trends.iamrohit.in/singapore.html	(from https://twitter-trends.iamrohit.in/)
11:47:29	148960/148960	---MCZ	200	added ('OK')	text/html	date:Sat,%2016%20Oct%202021%2006:17:32%20GMT	https://twitter-trends.iamrohit.in/south-africa	C:/My%20Web%20Sites/trends/twitter-trends.iamrohit.in/south-africa.html	(from https://twitter-trends.iamrohit.in/)
11:47:29	148876/148876	---MCZ	200	added ('OK')	text/html	date:Sat,%2016%20Oct%202021%2006:17:33%20GMT	https://twitter-trends.iamrohit.in/spain	C:/My%20Web%20Sites/trends/twitter-trends.iamrohit.in/spain.html	(from https://twitter-trends.iamrohit.in/)
11:47:30	148090/148090	---MCZ	200	added ('OK')	text/html	date:Sat,%2016%20Oct%202021%2006:17:33%20GMT	https://twitter-trends.iamrohit.in/sweden	C:/My%20Web%20Sites/trends/twitter-trends.iamrohit.in/sweden.html	(from https://twitter-trends.iamrohit.in/)
11:47:30	148230/148230	---MCZ	200	added ('OK')	text/html	date:Sat,%2016%20Oct%202021%2006:17:34%20GMT	https://twitter-trends.iamrohit.in/switzerland	C:/My%20Web%20Sites/trends/twitter-trends.iamrohit.in/switzerland.html	(from https://twitter-trends.iamrohit.in/)
11:47:31	154793/154793	---MCZ	200	added ('OK')	text/html	date:Sat,%2016%20Oct%202021%2006:17:34%20GMT	https://twitter-trends.iamrohit.in/thailand	C:/My%20Web%20Sites/trends/twitter-trends.iamrohit.in/thailand.html	(from https://twitter-trends.iamrohit.in/)
11:47:31	150024/150024	---MCZ	200	added ('OK')	text/html	date:Sat,%2016%20Oct%202021%2006:17:35%20GMT	https://twitter-trends.iamrohit.in/turkey	C:/My%20Web%20Sites/trends/twitter-trends.iamrohit.in/turkey.html	(from https://twitter-trends.iamrohit.in/)
